Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
L337,Female,No,3+,Graduate,Yes,428466,148654,4209580,2,893,Semiurban,Y
L338,Female,No,3+,Graduate,No,61878,214075,3354691,3,270,Semiurban,N
L339,Female,Yes,3+,Graduate,Yes,464367,363489,3263977,1,460,Urban,N
L340,Female,Yes,2,Not Graduate,Yes,80346,282840,1583347,1,323,Urban,N
L341,Male,Yes,0,Not Graduate,Yes,392057,212974,719988,3,449,Semiurban,Y
L342,Female,Yes,2,Graduate,No,480075,306881,4896365,2,803,Urban,Y
L343,Female,Yes,0,Not Graduate,No,270958,487018,2836876,3,173,Urban,N
L344,Male,Yes,2,Graduate,Yes,76883,218374,3918411,2,370,Semiurban,N
L345,Male,Yes,1,Not Graduate,No,10715,391134,1506678,2,626,Urban,N
L346,Male,No,2,Graduate,Yes,378616,407559,2779609,4,318,Semiurban,Y
L347,Male,Yes,2,Not Graduate,No,468419,177631,2278456,4,495,Semiurban,Y
L348,Female,No,0,Graduate,Yes,45732,265688,1989423,1,482,Rural,N
L349,Female,No,1,Not Graduate,No,124016,151023,2888676,3,941,Rural,Y
L350,Male,Yes,0,Graduate,No,365522,225198,2113561,4,502,Rural,N
L351,Female,No,0,Not Graduate,Yes,293583,324139,2086913,4,317,Semiurban,Y
L352,Female,No,3+,Graduate,Yes,81053,462861,884025,1,879,Urban,Y
L353,Male,Yes,3+,Graduate,No,339031,445007,4765499,1,818,Rural,Y
L354,Female,Yes,2,Not Graduate,No,62425,13684,2506894,3,445,Rural,N
L355,Male,No,3+,Not Graduate,No,331847,424681,2047479,1,466,Semiurban,N
L356,Female,Yes,0,Graduate,Yes,112525,455366,1664280,1,807,Rural,Y
L357,Female,Yes,1,Graduate,Yes,147355,94182,5459,2,567,Urban,Y
L358,Female,No,2,Not Graduate,No,274321,203831,510944,4,476,Urban,Y
L359,Male,No,3+,Graduate,Yes,475975,343509,1912076,2,2,Semiurban,N
L360,Male,No,1,Graduate,Yes,233646,104187,2253113,1,305,Urban,N
L361,Female,Yes,0,Graduate,Yes,24869,148458,3976624,3,286,Semiurban,N
L362,Female,Yes,0,Graduate,No,441524,45214,2604198,3,143,Semiurban,N
L363,Male,Yes,0,Not Graduate,Yes,76759,279093,3105296,1,807,Rural,Y
L364,Male,Yes,3+,Graduate,No,193442,460121,2588715,1,22,Rural,N
L365,Male,Yes,0,Graduate,Yes,359005,416766,3023347,4,732,Urban,Y
L366,Female,No,1,Graduate,Yes,392150,45303,1797078,2,864,Rural,Y
L367,Male,No,3+,Graduate,Yes,103171,489604,4322176,3,39,Urban,N
L368,Female,No,1,Not Graduate,No,304104,229493,2008592,3,435,Rural,N
L369,Male,No,1,Graduate,Yes,421358,258488,4963569,2,950,Urban,Y
L370,Female,Yes,0,Graduate,No,82779,20970,3593143,1,237,Rural,N
L371,Male,No,0,Graduate,No,482514,398951,2097267,4,286,Urban,Y
L372,Female,Yes,0,Not Graduate,Yes,22623,344983,4864439,3,767,Rural,Y
L373,Female,Yes,1,Not Graduate,Yes,340460,367833,4160509,2,899,Urban,Y
L374,Male,No,0,Not Graduate,No,144018,215177,640000,4,374,Rural,Y
L375,Female,Yes,2,Graduate,No,41248,8334,2500794,2,935,Semiurban,Y
L376,Female,Yes,0,Not Graduate,No,140199,306675,3370788,1,436,Urban,N
L377,Female,Yes,2,Graduate,No,86086,305916,1323669,4,713,Urban,Y
L378,Female,Yes,2,Not Graduate,No,91527,158065,1818434,3,438,Urban,N
L379,Female,Yes,2,Not Graduate,No,355775,178321,4764169,1,222,Semiurban,N
L380,Female,No,1,Not Graduate,No,334848,359669,4415605,3,415,Urban,N
L381,Male,Yes,3+,Graduate,Yes,102909,417246,1961876,1,729,Rural,Y
L382,Male,No,2,Not Graduate,Yes,445917,407590,4330947,2,146,Urban,N
L383,Male,Yes,1,Not Graduate,Yes,182106,104306,847383,1,573,Semiurban,N
L384,Male,No,1,Not Graduate,No,167688,39274,2611200,3,935,Rural,Y
L385,Male,Yes,2,Not Graduate,Yes,157465,208944,4155421,3,618,Semiurban,N
L386,Female,No,1,Graduate,No,330955,153100,1096620,1,112,Rural,N
L387,Male,No,0,Not Graduate,Yes,443083,387108,3291527,4,338,Urban,N
L388,Female,No,0,Graduate,Yes,114723,287098,3939228,1,84,Urban,N
L389,Female,Yes,1,Graduate,Yes,313276,260573,3732350,1,579,Urban,N
L390,Male,Yes,1,Not Graduate,Yes,275992,215503,2886178,1,314,Rural,N
L391,Female,Yes,3+,Not Graduate,No,192070,37680,3946977,3,742,Urban,Y
L392,Male,Yes,1,Graduate,Yes,21180,270942,1020923,3,869,Semiurban,Y
L393,Female,Yes,0,Not Graduate,No,18055,59046,1847049,2,610,Semiurban,N
L394,Female,No,1,Not Graduate,Yes,104025,429928,3881139,2,557,Semiurban,N
L395,Male,Yes,2,Graduate,No,391391,41567,691735,4,526,Semiurban,Y
L396,Male,Yes,2,Not Graduate,Yes,257946,315365,4988091,4,219,Semiurban,N
L397,Female,Yes,2,Not Graduate,No,278426,231560,2789624,1,483,Urban,N
L398,Female,Yes,3+,Graduate,No,292750,161979,4522815,2,530,Semiurban,N
L399,Male,Yes,3+,Not Graduate,No,226857,471917,1539299,1,838,Rural,Y
L400,Female,No,2,Not Graduate,Yes,63942,142535,2481190,1,402,Urban,N
L401,Female,No,2,Not Graduate,No,131640,376715,3848160,3,509,Urban,N
L402,Female,No,1,Not Graduate,Yes,316073,378334,1302654,1,116,Urban,N
L403,Female,No,1,Graduate,Yes,381560,287254,3607197,4,607,Urban,N
L404,Male,Yes,1,Not Graduate,No,110501,156722,4222577,4,817,Rural,Y
L405,Female,No,2,Graduate,No,81096,179765,4456304,1,9,Rural,N
L406,Female,Yes,3+,Not Graduate,Yes,310884,196890,4840419,3,548,Semiurban,N
L407,Male,No,2,Not Graduate,Yes,123166,276124,1713924,1,478,Semiurban,N
L408,Female,Yes,1,Graduate,No,490830,495317,3977439,2,721,Urban,Y
L409,Male,Yes,2,Not Graduate,Yes,227178,263127,1660211,3,685,Semiurban,Y
L410,Male,Yes,3+,Not Graduate,No,134703,492067,1981467,4,529,Urban,Y
L411,Male,No,0,Not Graduate,Yes,317871,207471,4388717,4,481,Rural,N
L412,Male,No,1,Graduate,Yes,150371,333186,2496276,4,803,Semiurban,Y
L413,Male,No,3+,Not Graduate,Yes,214457,73632,1565354,2,508,Urban,N
L414,Female,Yes,1,Graduate,Yes,436940,348445,2765311,3,914,Semiurban,Y
L415,Female,Yes,1,Graduate,Yes,219707,330735,354108,2,379,Rural,Y
L416,Female,Yes,0,Graduate,Yes,374910,477106,2916169,2,126,Semiurban,N
L417,Female,No,1,Not Graduate,No,358581,110592,4699894,2,72,Urban,N
L418,Male,Yes,3+,Not Graduate,Yes,180329,124755,1933029,3,463,Semiurban,N
L419,Female,No,2,Graduate,No,348426,482424,560708,1,639,Rural,Y
L420,Female,Yes,0,Graduate,No,203909,389096,393619,2,536,Rural,Y
L421,Female,Yes,2,Graduate,Yes,451360,361563,3292293,1,950,Urban,Y
L422,Male,Yes,0,Graduate,Yes,380897,269017,1679207,1,51,Semiurban,N
L423,Female,No,1,Graduate,Yes,395154,78879,665717,3,266,Semiurban,Y
L424,Female,Yes,3+,Graduate,Yes,270922,100417,529928,2,469,Urban,Y
L425,Female,Yes,1,Not Graduate,No,410762,290845,317893,2,615,Semiurban,Y
L426,Female,No,0,Not Graduate,No,107376,210108,4571166,1,247,Rural,N
L427,Female,Yes,0,Graduate,Yes,479173,101116,4665626,2,369,Rural,N
L428,Male,No,3+,Not Graduate,Yes,106654,316574,4071481,4,572,Rural,N
L429,Male,Yes,3+,Graduate,No,358255,299461,458380,3,128,Urban,Y
L430,Female,No,3+,Graduate,No,332004,355991,4152279,4,290,Rural,N
L431,Male,Yes,3+,Not Graduate,No,465844,14928,436836,4,23,Semiurban,Y
L432,Female,No,0,Not Graduate,Yes,161683,396751,10859,1,394,Urban,Y
L433,Male,Yes,0,Not Graduate,No,61913,334745,83046,3,342,Rural,Y
L434,Male,No,2,Not Graduate,No,303850,466425,3637424,1,324,Semiurban,N
L435,Female,Yes,3+,Graduate,No,92581,76548,3690310,3,701,Rural,Y
L436,Female,No,2,Not Graduate,No,270532,493837,531245,1,773,Semiurban,Y
L437,Male,No,3+,Graduate,Yes,421469,452602,1430486,4,481,Urban,Y
L438,Female,No,0,Graduate,No,69408,478852,1041664,4,406,Rural,Y
L439,Male,No,1,Graduate,Yes,234202,237146,1155142,4,650,Urban,Y
L440,Female,Yes,1,Graduate,Yes,310618,65956,2586614,1,629,Urban,N
L441,Male,No,1,Graduate,No,214675,362463,1048702,2,182,Urban,Y
L442,Male,No,3+,Graduate,No,243611,85031,563523,2,918,Semiurban,Y
L443,Male,Yes,0,Not Graduate,No,352921,270521,1852780,2,488,Semiurban,N
L444,Male,Yes,1,Graduate,Yes,455446,54314,1124825,4,864,Rural,Y
L445,Male,Yes,3+,Graduate,No,97578,336680,1171031,1,41,Rural,N
L446,Female,Yes,1,Graduate,No,343615,158833,2695189,1,136,Rural,N
L447,Male,Yes,0,Not Graduate,Yes,494934,328382,3577916,3,351,Rural,N
L448,Male,Yes,0,Not Graduate,No,333662,300155,2675167,3,643,Semiurban,N
L449,Male,Yes,2,Graduate,Yes,19785,120149,559467,4,895,Urban,Y
L450,Male,Yes,1,Graduate,No,91411,33727,1949095,3,396,Urban,N
L451,Female,No,0,Graduate,No,17145,457436,4272322,3,422,Rural,N
L452,Male,Yes,0,Graduate,Yes,85496,99303,4111349,3,693,Rural,Y
L453,Female,Yes,2,Not Graduate,No,20023,13611,1414305,3,811,Semiurban,Y
L454,Male,Yes,2,Graduate,No,355180,415685,2639653,4,916,Semiurban,Y
L455,Female,Yes,0,Graduate,No,205651,34817,4478027,2,131,Semiurban,N
L456,Female,No,2,Graduate,No,153530,467894,2871252,4,453,Rural,N
L457,Female,Yes,3+,Graduate,No,327525,112930,254457,1,744,Semiurban,Y
L458,Female,No,2,Graduate,No,77583,58351,3941617,1,522,Urban,N
L459,Male,No,0,Not Graduate,No,175721,296676,2200047,1,711,Rural,Y
L460,Male,Yes,1,Graduate,Yes,132097,259301,3241480,4,276,Semiurban,N
L461,Female,No,1,Not Graduate,No,77261,40235,2457731,4,577,Urban,N
L462,Female,Yes,3+,Not Graduate,Yes,489514,235311,1531288,1,767,Semiurban,Y
L463,Male,Yes,1,Not Graduate,No,486703,491554,1260632,1,930,Semiurban,Y
L464,Male,Yes,3+,Graduate,Yes,192218,371009,2676359,1,245,Semiurban,N
L465,Male,No,2,Not Graduate,No,54758,91394,3125555,2,905,Urban,Y
L466,Female,Yes,3+,Graduate,Yes,104497,128420,2200800,1,832,Semiurban,Y
L467,Male,No,0,Graduate,Yes,487452,466174,265342,4,713,Rural,Y
L468,Female,No,3+,Not Graduate,Yes,279783,482767,156463,3,571,Urban,Y
L469,Male,No,2,Graduate,Yes,297420,60240,4835296,4,942,Rural,Y
L470,Female,Yes,0,Not Graduate,No,110010,489038,3293631,3,897,Rural,Y
L471,Female,Yes,1,Graduate,No,342584,496210,4420296,2,631,Urban,N
L472,Female,Yes,2,Not Graduate,Yes,280683,53150,3452205,4,742,Semiurban,Y
L473,Male,Yes,0,Graduate,Yes,488387,3770,4619546,4,383,Semiurban,N
L474,Male,Yes,0,Not Graduate,Yes,429095,141530,3502766,1,766,Semiurban,Y
L475,Male,No,3+,Graduate,Yes,239700,124936,4504304,3,82,Urban,N
L476,Male,No,3+,Graduate,Yes,453384,3420,64813,1,250,Semiurban,Y
L477,Male,Yes,3+,Not Graduate,Yes,58803,272913,783872,2,107,Rural,N
L478,Female,No,0,Graduate,No,402240,55010,364068,1,567,Urban,Y
L479,Female,No,0,Not Graduate,Yes,231206,116938,1189059,2,713,Urban,Y
L480,Female,No,0,Graduate,Yes,420310,457343,3631021,2,21,Urban,N
L481,Female,Yes,1,Graduate,Yes,155243,301488,3512550,2,585,Semiurban,N
L482,Female,Yes,1,Not Graduate,No,206862,380607,4683110,3,695,Urban,Y
L483,Female,No,1,Not Graduate,No,66105,456551,3629906,3,369,Semiurban,N
L484,Male,Yes,1,Not Graduate,No,439834,308680,756567,3,458,Rural,Y
L485,Male,No,3+,Graduate,Yes,211573,240073,2467934,2,462,Rural,N
L486,Female,No,1,Not Graduate,No,198373,113264,4244142,2,144,Rural,N
L487,Male,No,1,Graduate,Yes,497903,155384,2119181,1,858,Semiurban,Y
L488,Male,Yes,1,Graduate,Yes,382984,232114,4670968,3,466,Urban,N
L489,Male,Yes,3+,Graduate,Yes,378719,87681,2895550,2,451,Rural,N
L490,Male,Yes,0,Graduate,Yes,493249,438585,173377,4,621,Urban,Y
L491,Male,No,1,Graduate,Yes,456485,34712,4084635,3,623,Urban,N
L492,Female,Yes,1,Graduate,No,127191,161823,1254246,4,77,Rural,N
L493,Male,No,2,Graduate,Yes,65739,74463,3659921,2,864,Rural,Y
L494,Female,Yes,2,Not Graduate,Yes,215225,442539,1358303,1,794,Urban,Y
L495,Female,No,1,Graduate,No,36822,429357,1575781,1,575,Rural,N
L496,Female,Yes,2,Graduate,No,145070,456146,2002860,3,861,Semiurban,Y
L497,Female,No,1,Not Graduate,Yes,56787,230679,4224798,4,278,Rural,N
L498,Female,No,3+,Not Graduate,No,39199,233384,2326884,2,517,Semiurban,N
L499,Male,Yes,0,Graduate,Yes,235900,476182,171260,4,6,Urban,Y
L500,Male,Yes,2,Graduate,No,235440,63442,4338521,2,596,Urban,N
L501,Female,No,1,Graduate,Yes,310016,241981,2760913,3,732,Rural,Y
L502,Female,No,1,Not Graduate,No,268622,457416,4007488,3,274,Urban,N
L503,Female,Yes,3+,Not Graduate,No,386309,396482,695674,2,643,Urban,Y
L504,Female,No,0,Graduate,No,70731,229325,4449053,3,760,Semiurban,Y
L505,Female,Yes,3+,Graduate,No,271277,388542,2749551,3,457,Rural,N
L506,Male,No,1,Not Graduate,No,236326,458699,3398304,3,212,Rural,N
L507,Male,Yes,1,Graduate,Yes,221807,358123,359467,1,160,Semiurban,Y
L508,Male,Yes,2,Graduate,Yes,482137,123583,3896692,4,203,Semiurban,N
L509,Male,No,0,Not Graduate,Yes,325099,273783,969957,2,698,Rural,Y
L510,Female,No,3+,Not Graduate,Yes,124040,64361,4830674,3,589,Rural,N
L511,Female,Yes,2,Graduate,Yes,157200,97327,4383629,3,329,Rural,N
L512,Female,No,3+,Graduate,No,173387,214429,4162570,4,6,Semiurban,N
L513,Male,No,0,Graduate,Yes,309185,244243,1893868,3,33,Rural,N
L514,Male,No,0,Not Graduate,No,283839,222743,2060812,2,47,Rural,N
L515,Female,Yes,3+,Graduate,No,338931,273588,1048544,1,653,Semiurban,Y
L516,Male,No,3+,Not Graduate,Yes,200225,203769,4425347,1,160,Rural,N
L517,Male,Yes,1,Graduate,Yes,186898,234710,161141,4,891,Rural,Y
L518,Female,Yes,2,Not Graduate,Yes,419695,124364,394358,4,523,Rural,Y
L519,Male,Yes,2,Not Graduate,No,464948,57846,4404615,3,68,Urban,N
L520,Male,No,2,Graduate,Yes,112403,47875,1068340,3,254,Semiurban,N
L521,Male,Yes,3+,Not Graduate,Yes,175541,141901,2205298,3,727,Semiurban,Y
L522,Male,Yes,3+,Not Graduate,Yes,299476,394202,3526116,1,810,Semiurban,Y
L523,Female,Yes,0,Not Graduate,Yes,399345,190741,1329427,2,134,Rural,N
L524,Female,No,0,Not Graduate,Yes,190432,254291,1251031,2,205,Semiurban,N
L525,Female,Yes,1,Graduate,Yes,277340,246369,3218118,1,751,Rural,Y
L526,Female,Yes,0,Graduate,No,431573,7628,854982,1,86,Urban,N
L527,Male,No,0,Graduate,Yes,291217,349738,26778,2,734,Semiurban,Y
L528,Female,Yes,0,Not Graduate,Yes,231934,291625,1640896,3,140,Rural,N
L529,Male,No,1,Graduate,No,271503,378043,2427231,2,242,Rural,N
L530,Female,No,0,Graduate,No,173637,348961,2135808,2,38,Semiurban,N
L531,Male,No,0,Graduate,Yes,253413,334939,4728160,4,486,Urban,N
L532,Female,Yes,0,Not Graduate,Yes,337922,257480,1255215,3,634,Urban,Y
L533,Female,No,2,Graduate,No,163367,495741,4444080,3,209,Semiurban,N
L534,Male,Yes,2,Not Graduate,Yes,230057,42841,1660449,2,395,Rural,N
L535,Female,No,3+,Graduate,No,449176,133989,2401756,1,209,Rural,N
L536,Male,No,0,Graduate,Yes,324788,434712,4494033,4,402,Semiurban,N
L537,Female,Yes,2,Not Graduate,Yes,166538,309595,819759,3,878,Rural,Y
L538,Male,No,0,Graduate,Yes,170523,337368,34797,1,550,Rural,Y
L539,Female,Yes,0,Graduate,No,52245,77262,4355784,3,724,Semiurban,Y
L540,Male,No,1,Not Graduate,No,145317,413628,1199839,1,489,Semiurban,N
L541,Male,Yes,1,Not Graduate,Yes,73916,396776,4847876,4,556,Semiurban,N
L542,Female,No,1,Not Graduate,Yes,129320,297876,167323,2,546,Urban,Y
L543,Female,No,0,Graduate,No,428801,139388,3214956,1,240,Rural,N
L544,Male,Yes,2,Not Graduate,No,370851,171246,4155496,1,769,Urban,Y
L545,Female,Yes,2,Not Graduate,Yes,378505,499552,569620,2,739,Urban,Y
L546,Female,No,0,Graduate,No,162531,96488,2004929,3,192,Urban,N
L547,Female,Yes,0,Graduate,No,150444,262850,4103652,1,639,Semiurban,N
L548,Male,Yes,3+,Not Graduate,No,374139,62999,1087131,3,934,Rural,Y
L549,Female,Yes,3+,Graduate,No,469528,120103,3294222,4,724,Semiurban,Y
L550,Female,No,0,Not Graduate,No,65947,154147,260153,4,121,Semiurban,Y
L551,Male,Yes,1,Graduate,No,448170,326604,247400,4,841,Semiurban,Y
L552,Female,No,3+,Graduate,No,122966,447112,3785065,3,878,Semiurban,Y
L553,Male,Yes,1,Graduate,No,175746,84027,3014214,4,484,Urban,N
L554,Female,No,2,Graduate,Yes,88650,37831,3409306,4,550,Urban,N
L555,Female,Yes,0,Not Graduate,Yes,375909,131630,3951952,1,875,Rural,Y
L556,Female,No,0,Not Graduate,Yes,494433,456530,2210365,4,601,Semiurban,Y
L557,Male,No,0,Graduate,No,62703,201667,2829242,4,423,Semiurban,N
L558,Female,No,1,Not Graduate,Yes,446268,492559,2795833,1,746,Urban,Y
L559,Female,No,2,Graduate,Yes,33565,249212,3777143,4,28,Semiurban,N
L560,Male,No,2,Not Graduate,No,468826,173715,2760987,2,783,Rural,Y
L561,Male,No,3+,Not Graduate,Yes,452982,346882,3318620,2,789,Rural,Y
L562,Female,No,3+,Not Graduate,Yes,61194,422810,3100447,1,311,Rural,N
L563,Female,No,1,Graduate,No,335312,89820,4741804,4,928,Rural,Y
L564,Female,No,0,Graduate,Yes,254246,66520,2252793,4,75,Semiurban,N
L565,Female,No,2,Not Graduate,No,450610,368212,4303973,1,449,Semiurban,N
L566,Male,Yes,0,Not Graduate,No,362820,339210,527291,3,5,Semiurban,Y
L567,Male,No,2,Not Graduate,Yes,251603,48172,2827531,3,21,Urban,N
L568,Female,No,1,Not Graduate,No,482779,390623,2210411,1,911,Rural,Y
L569,Male,Yes,0,Graduate,Yes,285958,325282,1314221,3,105,Urban,Y
L570,Male,Yes,2,Graduate,No,322095,332197,1106326,2,872,Rural,Y
L571,Female,No,0,Graduate,Yes,183146,175836,1795173,4,427,Rural,N
L572,Female,No,1,Graduate,Yes,369166,277614,4865577,3,889,Semiurban,Y
L573,Male,Yes,2,Graduate,No,469452,13966,1239733,3,374,Rural,Y
L574,Female,Yes,1,Graduate,Yes,11932,235608,1551722,1,479,Semiurban,N
L575,Female,No,1,Graduate,Yes,451996,340704,373964,1,617,Rural,Y
L576,Male,No,0,Not Graduate,Yes,426600,432310,1070638,4,463,Rural,Y
L577,Female,Yes,0,Not Graduate,Yes,256027,51561,3626352,4,707,Rural,Y
L578,Female,Yes,0,Not Graduate,Yes,43531,177729,1410513,1,921,Rural,Y
L579,Male,Yes,2,Not Graduate,Yes,218537,266710,1472649,2,38,Rural,N
L580,Female,No,1,Not Graduate,No,244926,42634,3946563,3,65,Urban,N
L581,Female,Yes,0,Graduate,Yes,324175,170125,2214440,4,865,Semiurban,Y
L582,Male,No,0,Graduate,No,199880,468998,2838549,2,327,Semiurban,N
L583,Male,Yes,0,Graduate,No,19508,473154,3357066,2,377,Rural,N
L584,Male,Yes,3+,Graduate,No,159891,316473,1149993,2,835,Urban,Y
L585,Female,Yes,1,Graduate,No,237819,28627,2300437,1,289,Rural,N
L586,Male,Yes,3+,Not Graduate,No,250355,492460,1372956,3,268,Rural,Y
L587,Male,Yes,1,Graduate,Yes,153574,482563,3683197,4,715,Rural,Y
L588,Female,No,0,Not Graduate,Yes,375726,162011,1776806,2,872,Rural,Y
L589,Female,No,0,Graduate,Yes,326135,359077,66454,4,881,Semiurban,Y
L590,Female,Yes,1,Not Graduate,Yes,140691,330869,200011,2,474,Semiurban,Y
L591,Female,No,3+,Not Graduate,Yes,91771,87368,3936623,3,846,Urban,Y
L592,Female,No,0,Graduate,No,498567,322923,3406464,3,738,Semiurban,Y
L593,Female,Yes,3+,Not Graduate,Yes,63639,476591,3857371,1,794,Semiurban,Y
L594,Female,No,0,Not Graduate,Yes,499405,206516,4695140,2,190,Semiurban,N
L595,Female,Yes,2,Not Graduate,Yes,478969,9335,4048880,4,43,Rural,N
L596,Male,No,2,Graduate,No,39192,112640,3287823,4,308,Rural,N
L597,Female,Yes,2,Graduate,No,485701,490625,2967095,2,787,Rural,Y
L598,Female,No,3+,Not Graduate,Yes,467275,13580,427269,1,683,Urban,Y
L599,Male,Yes,1,Graduate,No,123074,404674,2704939,4,729,Urban,Y
L600,Male,Yes,3+,Graduate,Yes,243210,438663,4498908,2,91,Urban,N
L601,Female,Yes,2,Graduate,Yes,437375,146687,1978894,2,479,Semiurban,N
L602,Female,No,2,Not Graduate,Yes,277802,97778,1786067,4,484,Urban,N
L603,Male,Yes,0,Not Graduate,No,404077,191024,1645281,1,405,Urban,N
L604,Female,No,1,Not Graduate,No,243788,369060,753009,4,676,Semiurban,Y
L605,Male,Yes,1,Graduate,No,213186,241702,2506509,4,930,Rural,Y
L606,Female,No,0,Graduate,Yes,189192,496304,424090,4,872,Rural,Y
L607,Male,No,1,Not Graduate,No,102891,428808,2111285,4,661,Urban,Y
L608,Female,Yes,0,Not Graduate,Yes,463383,4905,1150119,3,365,Urban,Y
L609,Female,Yes,3+,Graduate,No,324480,422274,531800,4,136,Semiurban,Y
L610,Male,Yes,1,Not Graduate,Yes,247288,32674,452440,2,25,Rural,Y
L611,Female,Yes,2,Not Graduate,Yes,314299,303803,4956854,3,656,Semiurban,Y
L612,Male,No,3+,Graduate,Yes,257949,280337,718387,2,790,Semiurban,Y
L613,Male,No,0,Not Graduate,Yes,162840,322882,3698722,4,906,Semiurban,Y
L614,Female,Yes,3+,Graduate,No,37268,409847,4637059,2,568,Rural,N
L615,Male,No,3+,Not Graduate,No,289218,45651,2287894,3,597,Urban,N
L616,Male,No,3+,Not Graduate,No,254262,484958,4830651,2,650,Semiurban,N
L617,Female,Yes,1,Graduate,Yes,219253,127775,868042,4,302,Rural,Y
L618,Male,Yes,3+,Graduate,No,40519,24034,1362133,4,746,Urban,Y
L619,Male,No,3+,Not Graduate,Yes,198905,317883,4635073,4,575,Semiurban,N
L620,Female,No,2,Graduate,Yes,452846,70113,3324542,2,329,Rural,N
L621,Female,No,2,Graduate,Yes,144587,289465,2338828,3,262,Semiurban,N
L622,Male,Yes,2,Not Graduate,No,93005,2254,3903661,2,792,Rural,Y
L623,Female,Yes,3+,Graduate,Yes,340808,23454,56528,3,374,Rural,Y
L624,Female,Yes,1,Graduate,Yes,146073,86243,2076118,3,788,Rural,Y
L625,Male,Yes,1,Graduate,Yes,292660,19330,4392757,1,338,Rural,N
L626,Female,No,1,Not Graduate,No,440534,122365,4116062,3,527,Semiurban,N
L627,Male,No,3+,Not Graduate,Yes,451657,401726,4434582,2,43,Rural,N
L628,Female,Yes,0,Graduate,Yes,98713,274435,3548696,4,532,Semiurban,N
L629,Male,Yes,0,Graduate,Yes,99030,53395,1384736,3,156,Urban,N
L630,Female,Yes,1,Graduate,No,367235,151740,1829522,3,124,Urban,N
L631,Female,No,1,Not Graduate,Yes,317839,72084,4201400,4,711,Rural,Y
L632,Male,No,2,Not Graduate,No,174843,38190,2958483,4,216,Semiurban,N
L633,Male,Yes,1,Graduate,No,405279,482534,2769388,4,567,Urban,Y
L634,Male,No,0,Not Graduate,Yes,258904,26260,2607476,4,104,Semiurban,N
L635,Female,No,3+,Not Graduate,No,223692,404595,3671372,3,830,Rural,Y
L636,Female,Yes,2,Graduate,Yes,310454,113138,2693564,1,57,Semiurban,N
L637,Female,Yes,2,Graduate,Yes,321353,461948,4882828,4,77,Rural,N
L638,Female,No,0,Not Graduate,No,310003,301729,3641158,4,789,Urban,Y
L639,Male,Yes,0,Not Graduate,No,398154,442638,755986,1,145,Rural,Y
L640,Female,No,3+,Not Graduate,Yes,30352,333776,3101798,4,853,Urban,Y
L641,Female,No,3+,Not Graduate,Yes,87232,418344,2929732,1,849,Urban,Y
L642,Male,No,3+,Graduate,No,448287,329179,2750547,2,634,Urban,N
L643,Female,No,0,Graduate,No,164088,51636,3296140,1,802,Semiurban,Y
L644,Female,No,1,Graduate,No,343146,93057,4683714,2,775,Semiurban,Y
L645,Male,Yes,2,Not Graduate,No,456524,74145,4483331,3,605,Semiurban,N
L646,Male,No,3+,Graduate,Yes,71707,116378,2881230,2,338,Rural,N
L647,Male,Yes,3+,Graduate,Yes,196735,448662,4038014,4,10,Urban,N
L648,Male,No,3+,Graduate,No,412207,320174,3687785,2,555,Semiurban,N
L649,Male,Yes,1,Not Graduate,No,324015,462357,596320,4,421,Rural,Y
L650,Male,No,0,Graduate,No,309805,485172,347769,3,386,Urban,Y
L651,Male,Yes,3+,Graduate,No,480000,472798,2482676,4,171,Urban,Y
L652,Male,Yes,2,Graduate,Yes,228135,230048,2036051,2,725,Urban,Y
L653,Male,No,2,Graduate,No,492754,124346,4967628,3,676,Semiurban,Y
L654,Male,No,3+,Not Graduate,Yes,95088,160060,2257159,2,422,Rural,N
L655,Female,No,2,Not Graduate,Yes,262766,481127,4767944,3,725,Rural,Y
L656,Male,Yes,0,Not Graduate,Yes,322534,61499,3865718,3,946,Urban,Y
L657,Male,No,0,Graduate,Yes,330804,55183,682322,2,633,Urban,Y
L658,Female,Yes,3+,Graduate,Yes,353496,160660,1429645,2,132,Rural,N
L659,Female,Yes,1,Graduate,Yes,294452,239652,1935563,3,861,Urban,Y
L660,Male,No,2,Not Graduate,Yes,142149,372831,3381306,2,402,Semiurban,N
L661,Male,No,3+,Not Graduate,Yes,23705,352514,2041014,1,876,Urban,Y
L662,Male,No,1,Graduate,Yes,192355,445787,4018578,2,133,Urban,N
L663,Male,No,3+,Not Graduate,No,95363,118624,2959126,3,339,Rural,N
L664,Female,Yes,1,Not Graduate,No,309103,174259,544132,1,548,Semiurban,N
L665,Female,Yes,0,Not Graduate,No,378302,387037,1443314,4,49,Rural,Y
L666,Female,Yes,3+,Graduate,No,53977,130895,1098771,3,578,Rural,N
L667,Male,Yes,1,Graduate,No,382685,171440,1767087,2,373,Urban,N
L668,Female,No,1,Graduate,No,378060,159324,2019199,2,477,Urban,N
L669,Female,Yes,1,Not Graduate,Yes,94579,19758,820740,4,554,Semiurban,N
L670,Female,Yes,0,Not Graduate,Yes,344829,66518,3313336,2,266,Rural,N
L671,Male,No,2,Not Graduate,Yes,258623,369842,189480,2,400,Semiurban,Y
L672,Female,No,2,Not Graduate,Yes,310025,468252,3654222,4,773,Semiurban,Y
